,Company Name,Stock Symbol,Industry,Exchange,1-Year Stock Price Change (%),Change Since IPO (%),Preference Score,User Decision
0,Airbnb,ABNB,Online Marketplace,NASDAQ,15.2,30.5,0.0703037748492294,
1,Alibaba Group,BABA,E-commerce,NYSE,-8.5,15.0,0.06164842528478893,
2,Alphabet (Google),GOOGL,Technology,NASDAQ,12.7,150.0,0.6370337279428189,
3,Amazon,AMZN,E-commerce,NASDAQ,9.3,120.0,0.12028143846325665,
4,Apple,AAPL,Technology,NASDAQ,18.5,200.0,0.6649542104087558,
5,Atlassian,TEAM,Software,NASDAQ,22.1,180.0,0.15378601742238104,
6,Baidu,BIDU,Internet Services,NASDAQ,-5.4,-20.0,0.04210408755863302,
7,Beyond Meat,BYND,Food Processing,NASDAQ,-12.8,50.0,0.08119276301094483,
8,Box,BOX,Cloud Storage,NYSE,10.6,50.0,0.08119276301094483,
9,Chewy,CHWY,E-commerce,NYSE,7.4,25.0,0.06723252177797633,
10,Cloudflare,NET,Cybersecurity,NYSE,25.3,60.0,0.08677685950413223,
11,Coinbase,COIN,Cryptocurrency Exchange,NASDAQ,-15.7,-10.0,0.04768818405182042,
12,CrowdStrike,CRWD,Cybersecurity,NASDAQ,20.9,70.0,0.09236095599731964,
13,Datadog,DDOG,Cloud Monitoring,NASDAQ,18.2,65.0,0.08956890775072594,
14,Dell Technologies,DELL,Technology,NYSE,5.7,30.0,0.5700245700245701,
15,DocuSign,DOCU,Software,NASDAQ,11.4,55.0,0.08398481125753854,
16,DoorDash,DASH,Food Delivery,NYSE,8.9,20.0,0.06444047353138263,
17,Dropbox,DBX,Cloud Storage,NASDAQ,9.8,35.0,0.07281661827116373,
18,Etsy,ETSY,E-commerce,NASDAQ,14.3,250.0,0.19287469287469286,
19,Facebook (Meta Platforms),META,Social Media,NASDAQ,16.5,100.0,0.10911324547688185,
20,GitLab,GTLB,Software Development,NASDAQ,19.7,40.0,0.07560866651775743,
21,HubSpot,HUBS,Software,NYSE,21.4,300.0,0.22079517534062987,
22,Lyft,LYFT,Ride Sharing,NASDAQ,-10.2,-15.0,0.044896135805226715,
